config,r2,r2_std,mae,rmse
A. baseline (26 feats),0.2957513261201253,0.008871586924925222,3790.5612372582927,6291.747933842482
B. depurado (-8 feats),0.23427280253063398,0.008342729501693565,3951.5421960014683,6560.659230147355
C. baseline + flags de pico,0.29434423392170445,0.00491427816369188,3803.7254830116767,6298.116482996252
D. train sin 38 dias pico,0.18498124733738766,0.00917259914505969,3843.6867947450155,6768.521638265334
E. baseline + compras_prev,0.2919867983391267,0.0017417787083639066,3816.5777658280876,6308.661465095625
F. baseline + devoluciones_prev,0.2955922318836572,0.007268533391061028,3805.159361383166,6292.498852704986
