feature,pearson,spearman
lag_1_y_sales_net,0.06320012778430252,0.07482563684818298
lag_7_y_sales_net,0.06901871719559649,0.14802011590424688
lag_14_y_sales_net,0.02528330614244379,0.04236659542849409
lag_30_y_sales_net,-0.02766355545944943,-0.043538593792547625
lag_90_y_sales_net,0.07452475604264007,0.1250036937776955
rolling_mean_7d,-0.02530904233689731,0.008270548737988966
rolling_mean_30d,0.0222775316545569,0.05010410918450725
rolling_std_7d,0.0029286316040609676,0.011861093167613381
rolling_min_7d,-0.11885519125864463,-0.06804868713436649
rolling_max_7d,-0.02990753941718837,0.0007699503346742222
expanding_mean,0.11105307412614064,0.16528098266133529
is_weekend,-0.4675156615544387,-0.5343809040679984
day_of_week,-0.43636763177408866,-0.4861270158269324
month,-0.0017172650343630596,0.026030520246526478
quarter,0.0023624965675361426,0.033479300256625794
is_month_start,-0.0823199180519817,-0.10173853158817157
is_month_end,0.13491839660614188,0.14282496914443094
dow_sin,0.37829839012295974,0.41747325364438526
dow_cos,0.01660312470425518,0.12609264756284438
month_sin,-0.017619904129098918,-0.04164377234033341
month_cos,-0.012505679067958003,-0.04009258192842524
es_feriado,-0.10119611911305602,-0.12798887080239277
n_clientes_prev,0.007472010115681584,0.07658308742665258
n_facturas_prev,0.017033047999110536,0.07180052059714075
pct_descuento_prom_prev,0.01397610695576503,0.022810605314631412
ticket_promedio_prev,0.044285738985017795,0.059440198485084306
